0,1,2,3,4,5,6,7,8,ID
fresa, frambuesa, aránd...,chocolate, caramelo, du...,mermelada,,,6105946
mora,,,menta,,,No disponible,,,6922869
roble, vainilla, chocol...,cereza, frutos rojos,,ciruela, casis,,1150796
No disponible,,,No disponible,,,No disponible,,,2148071
roble, vainilla, cedro,ciruela, mora, casis,Terroso, humo, minerale...,73565
No disponible,,,No disponible,,,No disponible,,,10443653
cereza, fresa, frambues...,Terroso, cuero, hongo,mora, cereza negra, ará...,1232743
vainilla, roble, chocol...,fruta negra, mora, casi...,cereza, frambuesa, fres...,1216613
ciruela, mora, arándano,roble, chocolate,,cereza, cereza roja, fr...,3897098
No disponible,,,No disponible,,,No disponible,,,12116895
cereza, frutos rojos, f...,roble, vainilla, tabaco,mora, cereza negra, ará...,1213542
No disponible,,,No disponible,,,No disponible,,,10443683
cereza negra, fruta neg...,,vainilla, roble, tabaco,pimienta, hoja de laure...,,5114472
cereza,,,mora, casis,,anís,,,8069711
cereza, cereza roja,,arándano,,,ciruela pasa,,,1574490
mora, ciruela, arándano,cereza, frutos rojos, f...,roble, vainilla, chocol...,2866
roble,,,No disponible,,,No disponible,,,4611102
cereza, fresa, frutos r...,pimienta, hinojo, regal...,mora, casis, arándano,1462506
roble, chocolate, vaini...,fruta negra, mora, ciru...,cuero, humo, virutas de...,1505563
Terroso, aceto balsámic...,,frambuesa, cereza, frut...,ciruela, fruta negra, m...,1313847
mermelada, ciruela, mor...,cereza, frambuesa,,Terroso,,,8948536
humo, caucho, Terroso,pimienta, anís,,cereza, cereza roja, gr...,6138042
hongo, humo, Terroso,cereza, frambuesa, frut...,frutos del bosque, merm...,,4345434
roble, tabaco, chocolat...,arándano, mora, frutos ...,frutos rojos, cereza, c...,2280694
vainilla, caramelo, cho...,pimienta, regaliz,,casis, casis, mora,3506174
cereza, frambuesa, frut...,melocotón,,,humo,,,9836828
cereza negra, ciruela, ...,cuero, Terroso, humo,cereza, fresa, arándano...,4417528
No disponible,,,No disponible,,,No disponible,,,6109741
cereza, fresa, frutos r...,Terroso, minerales, cue...,pimienta, regaliz, rega...,1183126
mora, casis,,No disponible,,,No disponible,,,8490001
cereza, frutos rojos, f...,ciruela, frutos del bos...,,vainilla, roble, chocol...,1545636
mora, fruta negra, ciru...,pimienta, regaliz, euca...,cereza, frambuesa, fres...,1199623
mora, ciruela, frutos d...,roble, vainilla, chocol...,cuero, Terroso, humo,1190319
roble, vainilla, chocol...,cereza, frutos rojos, c...,cuero, humo, Terroso,1605904
cereza, frambuesa, fres...,roble, vainilla, tabaco,aceto balsámico, cuero,...,1245368
frutos rojos, frambuesa...,,roble, vainilla, mezcla...,Terroso, aceto balsámic...,,1202700
cereza,,,aceituna negra,,,caramelo de regaliz,,,10140077
cereza,,,Terroso,,,No disponible,,,10202980
cereza, frambuesa, frut...,roble, tabaco, vainilla,mora, ciruela, frutos d...,86571
ciruela, mora, casis,roble, vainilla, chocol...,cereza, frutos rojos, f...,1291200
frambuesa, fresa, fruto...,vainilla, cigarro, café,mermelada, frutos del b...,,1513497
No disponible,,,No disponible,,,No disponible,,,12401718
cereza, frutos rojos, g...,Terroso, cuero, mineral...,roble, tabaco, mantequi...,85235
ciruela, mora, frambues...,cereza, granada, frutos...,bebida cola, roble, mez...,2180998
chocolate, roble, tabac...,mora, fruta negra, casi...,regaliz, pimienta, cane...,1368702
mora, arándano, ciruela,clavo de olor, roble,,cereza,,,9512144
chocolate, café, vainil...,ciruela, mora, frutos d...,Terroso, cuero, hongo,1322387
cereza, frutos rojos, f...,cuero, humo, pizarra,regaliz, pimienta, rome...,1408087
No disponible,,,No disponible,,,No disponible,,,11095609
roble,,,mora,,,humo,,,1630359
cereza, frambuesa, frut...,roble, tabaco, vainilla,mermelada, ciruela, cer...,1436940
roble, vainilla, chocol...,fruta negra, mora, ciru...,humo, cacao, cuero,4987019
No disponible,,,No disponible,,,No disponible,,,7490152
frambuesa, fresa, cerez...,minerales, Terroso, hum...,vainilla, roble, bebida...,2017119
cereza roja, cereza, fr...,vainilla, roble, coco,cuero, minerales, aceto...,5921222
cereza, frutos rojos, f...,cuero, Terroso, humo,roble, tabaco, cedro,779568
casis, mora,,cereza, frutos rojos,,aceto balsámico, cuero,,10200929
jambul, mora,,trufa negra,,,No disponible,,,2481107
frambuesa, cereza roja,...,ciruela, fruta negra, m...,pimienta, romero,,1279785
roble, tabaco, vainilla,arándano rojo, frambues...,,arándano, mora,,91854
café, vainilla,,cereza, guinda,,aceto balsámico, Carne ...,,19353
tabaco, chocolate,,cereza, frutos rojos,,humo,,,1200233
roble, chocolate, choco...,ciruela, mora, casis,cuero, Terroso, cacao,3164872
vainilla, roble,,casis, fruta negra,,Terroso, humo,,2093126
cereza, frambuesa, frut...,mora, ciruela, cereza n...,roble, chocolate, vaini...,78044
mora, frutos del bosque...,,roble, vainilla, tabaco,cuero, Terroso, humo,2445263
Terroso, cuero,,mora,,,pimienta,,,8713795
cacao, Terroso, carne a...,aceituna negra, mora, f...,cereza, frutos rojos, f...,1265099
cereza, fresa, frambues...,Terroso, minerales, cue...,ciruela, mora, mermelad...,1213215
No disponible,,,No disponible,,,No disponible,,,6514329
No disponible,,,No disponible,,,No disponible,,,6457121
roble, vainilla, chocol...,fruta negra, cereza neg...,,frutos rojos, arándano ...,,8389792
granada, cereza, frambu...,ciruela,,,violeta,,,5119844
frambuesa, cereza, frut...,pimienta, hierbas secas...,,Terroso, hierro, aceto ...,7450121
pimienta,,,No disponible,,,No disponible,,,9759723
roble, mantequilla, cla...,regaliz, pimienta, pimi...,fruta negra, cereza neg...,,9220215
frutos rojos, cereza, f...,roble, tabaco,,minerales, pizarra, hum...,8516795
roble, vainilla, chocol...,mora, fruta negra, casi...,humo, cuero, Terroso,4464694
cereza, frutos rojos,,No disponible,,,No disponible,,,7376356
aceto balsámico, Terros...,,vainilla, tabaco, roble,ciruela, casis, frutos ...,1382832
roble, vainilla, tabaco,mora, cereza negra, cir...,cuero, Terroso, aceto b...,1203986
mora, arándano, frutos ...,roble, tabaco, vainilla,pimienta, enebro, pimie...,2018029
roble, clavo de olor, t...,mora, fruta negra, casi...,cuero, humo, aceto bals...,1886228
mezcla de especias para...,,,fresa salvaje,,,violeta,,,5957542
roble, vainilla, cigarr...,mora, ciruela, cereza n...,cuero, humo, Terroso,7473593
No disponible,,,No disponible,,,No disponible,,,2234257
fruta negra, ciruela,,cereza,,,vainilla,,,8136247
cuero, humo, minerales,roble, chocolate, café,ciruela, frutos del bos...,,7104581
fresa, cereza,,cereza negra, mermelada,,pimienta,,,1270709
roble, vainilla, chocol...,cereza, frutos rojos, f...,cuero, Terroso, humo,1170331
cereza, frutos rojos,,frutos del bosque, ciru...,,Terroso, cuero,,9595624
ciruela, açaí, mora,roble, vainilla,,frambuesa,,,3733421
No disponible,,,No disponible,,,No disponible,,,10766989
ciruela, mora, cereza n...,cereza, fresa, frutos r...,roble, vainilla, tabaco,1161006
roble, vainilla, chocol...,ciruela, mora, cereza n...,cuero, humo, Terroso,3482
frutos del bosque, mora...,,roble, vainilla, chocol...,cuero, Terroso, humo,2372221
arándano, cereza negra,...,cereza, granada,,pimienta, ajedrea,,1178985
frambuesa, cereza, fres...,pimienta, pimienta blan...,,cereza negra, mora, mer...,10637478
No disponible,,,No disponible,,,No disponible,,,9956661
roble, vainilla, cedro,mora, casis, ciruela,regaliz, canela, pimien...,6481014
aceto balsámico, Terros...,,cereza, cereza roja,,queso,,,5028328
mora, ciruela, fruta ne...,roble, vainilla, tabaco,cuero, Terroso, mineral...,1441656
mora, fruta negra, frut...,cuero, Terroso, alquitr...,roble, vainilla, chocol...,1230458
cuero, Terroso, Carne d...,mora, ciruela, frutos d...,tabaco, roble, cedro,1240890
mora,,,cereza,,,cuero,,,2148634
roble, vainilla, chocol...,cereza, frutos rojos, f...,mora, fruta negra, ciru...,50774
pimienta, canela, hinoj...,cereza, cereza roja, fr...,cedro, sándalo, cigarro,5982772
roble, vainilla, chocol...,cereza, frutos rojos, f...,cuero, Terroso, mineral...,96855
roble, vainilla, tabaco,mora, ciruela, arándano,cuero, humo, Carne de c...,8803139
cuero, humo, alquitrán,roble, vainilla, cedro,cereza, frutos rojos, f...,1199620
ciruela, frutos del bos...,,cedro, café, chocolate ...,cuero, humo,,2320723
cereza, fresa, bebida c...,mora, frutos del bosque...,,Terroso, pizarra, humo,6373863
fruta negra, cereza neg...,,ciruela roja, frutos ro...,,regaliz, pimienta,,8313573
cereza, frambuesa, frut...,higo, ciruela pasa,,ciruela, frutos del bos...,,1502824
No disponible,,,No disponible,,,No disponible,,,6155512
Terroso, cuero, hongo,tabaco, cedro, roble,cereza, frambuesa, frut...,1188169
fresa, frutos rojos, fr...,Terroso, cuero, hongo,pimienta blanca, canela...,,4022133
cereza, fresa, frambues...,Terroso, humo, cuero,roble, vainilla, tabaco,1127343
roble, vainilla, chocol...,casis, mora, cereza neg...,cuero, Terroso, hongo,10026075
No disponible,,,No disponible,,,No disponible,,,10868396
No disponible,,,No disponible,,,No disponible,,,8581902
mora, ciruela, cereza n...,cereza, arándano rojo, ...,Terroso, cuero, miel,2247600
mora, arándano, jambul,regaliz, pimienta, anís,roble, mantequilla, vai...,1414730
No disponible,,,No disponible,,,No disponible,,,1395557
arándano rojo deshidrat...,,,manzana,,,levadura,,,7893351
frutos rojos, fresa, ce...,pimienta, canela, regal...,ciruela,,,1799229
No disponible,,,No disponible,,,No disponible,,,2045827
hongo, humo, sal,cereza,,,ciruela,,,6373869
No disponible,,,No disponible,,,No disponible,,,1662811
cereza, frutos rojos, f...,mora, arándano, frutos ...,roble, tabaco, café,5815253
cereza, frambuesa,,pimienta,,,humo,,,8424906
roble, vainilla, chocol...,cereza, arándano rojo, ...,cereza negra, fruta neg...,,9913602
vainilla, roble, cedro,pimienta, canela, menta,cereza, fresa, frutos r...,2607
No disponible,,,No disponible,,,No disponible,,,12329926
cuero, humo, Terroso,cereza, frutos rojos, f...,mora, cereza negra, cir...,6373831
ceniza, Terroso,,cereza, grosella roja,,fruta seca,,,2691620
mora, casis, frutos del...,frutos rojos, frambuesa,,vainilla, roble,,1191714
cereza, fresa, frambues...,Terroso, cuero, humo,ciruela, mora, mermelad...,1261837
No disponible,,,No disponible,,,No disponible,,,11163083
No disponible,,,No disponible,,,No disponible,,,2062586
cereza, fresa, frambues...,ciruela, fruta negra, f...,cacao, sílex,,2063949
No disponible,,,No disponible,,,No disponible,,,6918229
No disponible,,,No disponible,,,No disponible,,,7524457
romero, tomillo, salvia,casis, fruta negra, mor...,roble, chocolate, vaini...,5954350
mora, cereza negra, fru...,roble, chocolate, vaini...,cuero, Terroso, cacao,1595182
cereza, frambuesa,,naranja,,,pimienta,,,1896636
casis, ciruela, jambul,frutos rojos, cereza, c...,pimienta, pimienta verd...,,5792714
cereza, frutos rojos, f...,tabaco, café, roble,cuero,,,8886938
No disponible,,,No disponible,,,No disponible,,,1149142
frambuesa, cereza, frut...,vainilla, roble, chocol...,mermelada, mora, ciruel...,4547042
roble, chocolate, tabac...,mora, fruta negra, casi...,cereza, frutos rojos, f...,2455412
cereza, frambuesa, frut...,casis, ciruela, casis,cuero, humo,,2496108
roble, vainilla, chocol...,ciruela, mora, cereza n...,cereza, frutos rojos, f...,1679600
cereza roja, fresa, cer...,mermelada, fruta negra,...,pimienta, regaliz rojo,,8308223
jambul, casis,,pasas de uva negras, or...,,pimienta,,,6675554
roble, tabaco, vainilla,mora, cereza negra, cas...,cereza roja, arándano r...,,1809467
No disponible,,,No disponible,,,No disponible,,,9846787
tiza, cuero,,cereza,,,tabaco,,,9876372
mora, ciruela, cereza n...,caramelo de regaliz, hi...,,cuero, humo,,1446766
roble,,,No disponible,,,No disponible,,,6316610
mora, fruta negra, frut...,cereza, fresa, frambues...,pimienta, pimienta blan...,,1463780
cereza, frutos rojos, a...,roble, tabaco, vainilla,Terroso, cuero, humo,82393
Terroso, cuero, mineral...,cereza, frambuesa, frut...,mora, casis, cereza neg...,1100696
virutas de lápiz,,,No disponible,,,No disponible,,,7581690
ciruela, mora, fruta ne...,vainilla, tabaco, roble,pimienta, canela, regal...,8608856
mora, casis, cereza neg...,roble, vainilla, tabaco,cereza, frambuesa, fres...,1285597
mora, frutos del bosque...,,Terroso, cuero, grafito,cereza, frutos rojos, c...,8934452
frutos rojos, cereza, f...,pimienta, tomillo, rome...,roble, tabaco, chocolat...,1215440
roble, clavo de olor, c...,fruta negra, cereza neg...,,frutos rojos, ciruela r...,,6345336
frambuesa, cereza, fres...,ciruela, mora, cereza n...,Terroso, hongo, piedra,1169813
roble, vainilla, chocol...,ciruela, fruta negra, m...,cacao, aceto balsámico,...,1199185
cereza,,,carne a la parrilla,,,roble,,,6781397
cereza, fresa, grosella...,cítrico, naranja,,vainilla, roble, bebida...,9463375
mora, ciruela, cereza n...,vainilla, tabaco, caram...,cuero, Terroso, humo,8842875
roble, vainilla, tabaco,cereza, frambuesa, frut...,cuero, Terroso, humo,12463
No disponible,,,No disponible,,,No disponible,,,2246843
No disponible,,,No disponible,,,No disponible,,,1411333
mora, ciruela, fruta ne...,cereza, frambuesa, fres...,regaliz, pimienta, hoja...,1227805
cereza, frutos rojos, f...,roble, tabaco dulce, ca...,pimienta, canela, mento...,1165264
roble, vainilla, chocol...,ciruela, mora, fruta ne...,cereza, frutos rojos, f...,13842
roble, vainilla, chocol...,mora, ciruela, casis,cereza, frutos rojos, f...,1152010
mora, frutos del bosque...,,roble, vainilla, tabaco,cuero, Terroso, humo,4781495
cereza, frutos rojos, f...,Terroso, cacao, cuero,ciruela, jambul, cereza...,2711204
cuero,,,No disponible,,,No disponible,,,1907850
Terroso, piedra,,drupa,,,No disponible,,,1728040
chocolate, café moca, r...,cereza, frutos rojos, f...,mora, casis, frutos del...,10851641
ciruela, mora, casis,cereza, fresa, frutos r...,pimienta, anís, anís es...,1372756
mora, ciruela, casis,roble, chocolate, vaini...,minerales, cuero, humo,2570956
cereza, frutos rojos, f...,ciruela, mora, frutos d...,roble, tofi, mezcla de ...,1277719
cereza, fresa, frambues...,Terroso, cuero, hongo,roble, mantequilla, cla...,1187395
fresa, cereza, frutos r...,cuero, Terroso, humo,roble, tabaco, chocolat...,1467541
arándano rojo, cereza, ...,hierbas secas, regaliz,...,minerales, Terroso, jen...,4676926
Terroso, cuero,,frambuesa, cereza,,roble, vainilla,,1281759
cereza negra, fruta neg...,,frambuesa,,,chocolate amargo, choco...,,1238755
vainilla, cedro, roble,cereza,,,zarza, casis,,4737243
frambuesa, frutos rojos...,,mermelada, ciruela, mor...,Terroso, cuero, mineral...,1177279
ciruela, mora, fruta ne...,roble, chocolate, vaini...,Terroso, cuero, humo,6089435
Terroso, miel, minerale...,arándano, mora, ciruela,cereza, fresa, granada,3742074
arándano, ciruela,,cereza,,,No disponible,,,8299459
arándano, ciruela, mora,roble, tabaco, clavo de...,cuero, hongo,,9108703
cacao, Terroso,,fruta negra,,,chocolate amargo,,,7923306
cereza, frambuesa, fres...,roble, vainilla, tabaco,mora, ciruela, arándano,1215674
cereza, frutos rojos, a...,mora, ciruela, casis,Terroso, cuero, humo,5008625
cereza, frutos rojos, f...,vainilla,,,No disponible,,,5775474
cereza, fresa deshidrat...,,ciruela,,,arándano deshidratado,,,6914050
No disponible,,,No disponible,,,No disponible,,,11937435
grafito, hierro,,frambuesa, fresa,,cereza negra,,,9525141
cereza, frutos rojos, f...,ciruela, cereza negra, ...,roble, chocolate, vaini...,97216
fresa, cereza, frutos r...,casis, arándano, ciruel...,Terroso, cuero, humo,1964997
frutos rojos, cereza, c...,caramelo, clavo de olor...,,hoja de laurel, hierbas...,,9559604
ciruela, mora, cereza n...,cereza, frutos rojos, a...,cuero, humo, aceto bals...,8716276
cereza,,,No disponible,,,No disponible,,,9328326
ciruela, mora, arándano,chocolate, roble, vaini...,cereza, frutos rojos, c...,3989467
cuero, Terroso, humo,mora, ciruela, cereza n...,tabaco, roble, chocolat...,1206927
roble, vainilla,,cereza, frutos rojos,,pimienta,,,4781798
Terroso, Carne adobada,,queso,,,vainilla,,,6945814
roble, chocolate, vaini...,frambuesa, cereza, frut...,ciruela, mora, frutos d...,94971
vainilla, roble, chocol...,ciruela, mora, mermelad...,cereza, frutos rojos, f...,5418700
No disponible,,,No disponible,,,No disponible,,,1192016
cereza, frambuesa, cere...,chocolate, tabaco, vain...,aceto balsámico, cuero,...,6715991
No disponible,,,No disponible,,,No disponible,,,2268856
mora, arándano, ciruela,roble, vainilla, chocol...,cereza, fresa, frambues...,19437
vainilla, roble, tabaco,ciruela, mora, cereza n...,cuero, Terroso, humo,1710574
cereza negra, ciruela, ...,Terroso, cuero, hierro,chocolate, vainilla, ce...,96034
roble, cedro, chocolate,casis, mora, ciruela,cacao, cuero, suelo del...,2243136
fresa, cereza, frutos r...,mermelada, cereza negra...,,roble, café moca,,8783815
cereza, fresa, frambues...,Terroso, humo, hongo,ciruela, cereza negra, ...,4362333
cereza, frutos rojos, f...,mezcla de especias para...,,,cuero, cacao, Terroso,1161490
pimienta, canela, anís,Terroso, cuero, mineral...,mantequilla, clavo de o...,,16758
cereza, frambuesa, cere...,ciruela, arándano, mulb...,canela, pimienta, anís,14665
arándano rojo, cereza, ...,cuero, minerales,,No disponible,,,7388735
ciruela, fruta negra,,Terroso, sal,,arándano rojo, cereza r...,,6815089
frutos rojos, frambuesa...,,Terroso, humo, cuero,roble, tabaco, vainilla,6514221
tabaco, vainilla, roble,mora, ciruela, arándano,aceto balsámico, cuero,...,1182418
vainilla, roble, chocol...,cereza negra, ciruela, ...,cuero, humo, Terroso,6332143
casis, mora, ciruela,cereza, guinda, frambue...,regaliz, canela, pimien...,7164706
cereza, fresa, frutos r...,ciruela, mora, frutos d...,cuero, Terroso, humo,1144970
frutos rojos, cereza,,mora, ciruela,,violeta,,,8519863
frutos rojos, cereza,,pimienta,,,Terroso, cuero,,5479735
roble, vainilla, café,mora, casis, ciruela,cuero, Terroso, humo,1450016
cereza, fresa, frambues...,vainilla, roble, tabaco,ajedrea, canela, regali...,6732853
vainilla, roble, bebida...,cereza, frutos rojos, f...,ciruela, cereza negra, ...,9894485
chocolate, vainilla, ro...,fruta negra, mora, ciru...,frambuesa, frutos rojos...,,1181593
cereza, frambuesa, arán...,eucalipto, hierbas verd...,,roble,,,10686062
frambuesa, fresa, cerez...,Terroso, humo,,arándano, frutos del bo...,,1251782
sal, Terroso,,pimienta,,,arándano rojo,,,7490059
roble, vainilla, chocol...,mora, ciruela, fruta ne...,cereza, frutos rojos, f...,1159184
mora, ciruela, cereza n...,tabaco, chocolate, clav...,cuero, Terroso, suelo d...,5827100
mora, arándano, cereza ...,cereza, frambuesa, gros...,Terroso, miel, humo,1845955
roble, tabaco, vainilla,cuero, Terroso, humo,ciruela, mora, casis,1235255
fruta negra, ciruela, m...,regaliz, pimienta, ment...,Terroso, cuero, humo,4211543
cereza, fresa, frambues...,Terroso, minerales, cue...,mora, fruta negra, merm...,1295548
hierbas secas, mentol, ...,roble, vainilla, cedro,mora, frutos del bosque...,,2028407
cereza, frutos rojos, f...,tiza, Terroso, minerale...,No disponible,,,2711091
cuero, humo, aceto bals...,cereza, frambuesa, frut...,roble, tabaco, mezcla d...,1539254
frutos rojos, cereza, f...,pimienta blanca, mentol...,,mora, mulberry, ciruela,2684718
arándano, frutos del bo...,,roble, vainilla, chocol...,cereza, frambuesa, frut...,2610483
roble, vainilla, tabaco,cereza, frutos rojos, f...,ciruela, mora, cereza n...,1149321
cereza, fresa, frutos r...,frutos del bosque, mora...,,roble, vainilla, chocol...,1168468
cereza, frutos rojos,,fruta negra,,,regaliz,,,8561486
No disponible,,,No disponible,,,No disponible,,,6870643
frutos del bosque,,,piedra,,,No disponible,,,5196586
roble, vainilla, chocol...,frutos rojos, cereza, g...,cuero, Terroso, aceto b...,5360156
cuero, minerales, humo,roble,,,No disponible,,,1250985
ciruela, mora, mermelad...,trufa negra, Terroso,,queso,,,1571257
cereza, fresa, frambues...,roble, chocolate, tabac...,casis, frutos del bosqu...,,1445056
fruta negra, mora, arán...,cereza,,,Terroso,,,2727716
cereza, fresa, frutos r...,ciruela, mora, mermelad...,roble, vainilla, tabaco,1711316
roble, chocolate, vaini...,mora, frutos del bosque...,,humo, aceto balsámico, ...,1596712
No disponible,,,No disponible,,,No disponible,,,10825296
No disponible,,,No disponible,,,No disponible,,,3790800
mora,,,cuero,,,No disponible,,,8582002
roble, vainilla, chocol...,fruta negra, mora, ciru...,frutos rojos, cereza, f...,1552273
romero, tomillo,,albaricoque,,,vainilla,,,5130951
roble, vainilla, cedro,arándano, mora, frutos ...,anís, regaliz,,1568998
roble, vainilla, tabaco,ciruela, mora, casis,cereza, frutos rojos, f...,1478371
vainilla, caramelo, rob...,cereza, frutos rojos,,mora, arándano, ciruela,6476854
ciruela, cereza negra,,tabaco, chocolate, choc...,cereza,,,1496599
fruta negra, ciruela, m...,pimienta, hierbas secas...,,cuero, piedra,,1357678
No disponible,,,No disponible,,,No disponible,,,6832902
Terroso, cuero,,cereza negra,,,tabaco,,,9891253
roble, chocolate, choco...,cerezo ácido, cereza, a...,fruta negra, frutos del...,,3785357
roble, tabaco,,pimienta,,,queso,,,5129025
arándano rojo, frutos r...,,fruta negra, aceituna n...,,pimienta, hierbas secas...,,1360300
fruta negra, ciruela, a...,chocolate amargo, choco...,,cereza, frutos rojos, f...,2423146
roble, vainilla, chocol...,mora, casis, ciruela,cereza, frambuesa, frut...,1814122
clavo de olor, roble, v...,cereza, arándano rojo,,tostada,,,9899263
cereza, frutos rojos, f...,frutos del bosque, mora,,cuero, Terroso,,1613841
No disponible,,,No disponible,,,No disponible,,,5239231
tabaco, roble, vainilla,cuero, Terroso, piedra,fruta negra, aceituna n...,,2274547
No disponible,,,No disponible,,,No disponible,,,11880566
fresa salvaje,,,Terroso,,,No disponible,,,2120776
mora, casis, cereza neg...,chocolate, roble,,miel, cuero,,2479476
cereza, cereza al marra...,,Terroso,,,roble, vainilla,,1503045
cereza, granada, grosel...,fruta negra, ciruela, a...,pimiento, ruibarbo,,4440202
roble, tabaco, cedro,Terroso, cuero, virutas...,casis, mora, cereza neg...,1239768
frambuesa, cereza, gros...,chocolate, nuez moscada...,,yogur,,,2610309
